start,end_exclusive,length,field,wire_hex,interpreted_value
0,4,4,block.header.version,0060bb31,834363392
4,36,32,block.header.previous_hash_le,6d85af4f6b7ccc7016a78310118e2989f07c813d679d99489dede90000000000,6d85af4f6b7ccc7016a78310118e2989f07c813d679d99489dede90000000000
36,68,32,block.header.merkle_root_le,02d1ed1825dfa3fda52e3d93398ea76b854b513c51ae86dff9ba50bd0b645358,02d1ed1825dfa3fda52e3d93398ea76b854b513c51ae86dff9ba50bd0b645358
68,72,4,block.header.timestamp,55f05d6a,1784541269
72,76,4,block.header.bits,ffff001d,486604799
76,80,4,block.header.nonce,94023841,1094189716
80,81,1,block.transaction_count,0e,14
81,85,4,block.tx[0].version,01000000,1
85,86,1,block.tx[0].marker,00,0 (SegWit marker)
86,87,1,block.tx[0].flag,01,1 (witness present)
87,88,1,block.tx[0].input_count,01,1
88,120,32,block.tx[0].vin[0].prev_txid_le,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
120,124,4,block.tx[0].vin[0].prev_vout,ffffffff,4294967295
124,125,1,block.tx[0].vin[0].script_sig_length,17,23
125,148,23,block.tx[0].vin[0].script_sig,03ee3502000484cf5d6a0cd4b9446a0000000000000000,03ee3502000484cf5d6a0cd4b9446a0000000000000000
148,152,4,block.tx[0].vin[0].sequence,ffffffff,4294967295
152,153,1,block.tx[0].output_count,02,2
153,161,8,block.tx[0].vout[0].value_satoshi,fb1e062a01000000,5000011515
161,162,1,block.tx[0].vout[0].script_pubkey_length,16,22
162,184,22,block.tx[0].vout[0].script_pubkey,001485e9d16efcd61814f84fd2c8e996768ba43fc31c,001485e9d16efcd61814f84fd2c8e996768ba43fc31c
184,192,8,block.tx[0].vout[1].value_satoshi,0000000000000000,0
192,193,1,block.tx[0].vout[1].script_pubkey_length,26,38
193,231,38,block.tx[0].vout[1].script_pubkey,6a24aa21a9edb02575db4df1787cd461c96dbb9bfcf86a9c4fa1780b1c35639149db0182e65c,6a24aa21a9edb02575db4df1787cd461c96dbb9bfcf86a9c4fa1780b1c35639149db0182e65c
231,232,1,block.tx[0].vin[0].witness_count,01,1
232,233,1,block.tx[0].vin[0].witness[0].length,20,32
233,265,32,block.tx[0].vin[0].witness[0].data,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
265,269,4,block.tx[0].locktime,00000000,0
269,273,4,block.tx[1].version,02000000,2
273,274,1,block.tx[1].marker,00,0 (SegWit marker)
274,275,1,block.tx[1].flag,01,1 (witness present)
275,276,1,block.tx[1].input_count,01,1
276,308,32,block.tx[1].vin[0].prev_txid_le,6a7a335a0b2dee9d1378758ceee02d2bce5500992a854bc8673db4e894b3af97,6a7a335a0b2dee9d1378758ceee02d2bce5500992a854bc8673db4e894b3af97
308,312,4,block.tx[1].vin[0].prev_vout,01000000,1
312,313,1,block.tx[1].vin[0].script_sig_length,00,0
313,313,0,block.tx[1].vin[0].script_sig,,
313,317,4,block.tx[1].vin[0].sequence,fdffffff,4294967293
317,318,1,block.tx[1].output_count,02,2
318,326,8,block.tx[1].vout[0].value_satoshi,52bf010000000000,114514
326,327,1,block.tx[1].vout[0].script_pubkey_length,16,22
327,349,22,block.tx[1].vout[0].script_pubkey,0014c8c43f9b09e2aadeb3fc1d200da042443bfd3b90,0014c8c43f9b09e2aadeb3fc1d200da042443bfd3b90
349,357,8,block.tx[1].vout[1].value_satoshi,0a3b040000000000,277258
357,358,1,block.tx[1].vout[1].script_pubkey_length,16,22
358,380,22,block.tx[1].vout[1].script_pubkey,00142603bd819ecb0d0c9ad88745ab7fd1798f517762,00142603bd819ecb0d0c9ad88745ab7fd1798f517762
380,381,1,block.tx[1].vin[0].witness_count,02,2
381,382,1,block.tx[1].vin[0].witness[0].length,47,71
382,453,71,block.tx[1].vin[0].witness[0].data,3044022037462debb2cccf9d64623982195ea538e6ed24fe79b62aad41c328d49f1cb549022032954dd35fcaeb8fa015d442d0db092a2c6706e4d8433ced0edd62e46a0da69101,3044022037462debb2cccf9d64623982195ea538e6ed24fe79b62aad41c328d49f1cb549022032954dd35fcaeb8fa015d442d0db092a2c6706e4d8433ced0edd62e46a0da69101
453,454,1,block.tx[1].vin[0].witness[1].length,21,33
454,487,33,block.tx[1].vin[0].witness[1].data,023080eb7885daed9fc54d3f5314672716c98679ccc0d0d690c4ad00a7930302e8,023080eb7885daed9fc54d3f5314672716c98679ccc0d0d690c4ad00a7930302e8
487,491,4,block.tx[1].locktime,ec350200,144876
491,495,4,block.tx[2].version,01000000,1
495,496,1,block.tx[2].input_count,01,1
496,528,32,block.tx[2].vin[0].prev_txid_le,13577b77a7b18c03067e3e485246d782ee58c2eef045231f75e5610e7641cf0a,13577b77a7b18c03067e3e485246d782ee58c2eef045231f75e5610e7641cf0a
528,532,4,block.tx[2].vin[0].prev_vout,01000000,1
532,533,1,block.tx[2].vin[0].script_sig_length,6a,106
533,639,106,block.tx[2].vin[0].script_sig,47304402202e785126eefa28a9295a088f52deb910e85c81ce86a1ae1a4300b2fe83b4fa09022022ae379d9cb56b8377116b694d1f93f7a15f00b10ec79445a67f8253e0750eba0121020aef0f6aaf0b5b43bc9c5059cafb70f9099a56e596d9f7e4d5114c3a0e2e666b,47304402202e785126eefa28a9295a088f52deb910e85c81ce86a1ae1a4300b2fe83b4fa09022022ae379d9cb56b8377116b694d1f93f7a15f00b10ec79445a67f8253e0750eba0121020aef0f6aaf0b5b43bc9c5059cafb70f9099a56e596d9f7e4d5114c3a0e2e666b
639,643,4,block.tx[2].vin[0].sequence,ffffffff,4294967295
643,644,1,block.tx[2].output_count,02,2
644,652,8,block.tx[2].vout[0].value_satoshi,1027000000000000,10000
652,653,1,block.tx[2].vout[0].script_pubkey_length,16,22
653,675,22,block.tx[2].vout[0].script_pubkey,00149f2e90fb725c9b9e062e6fe6ccf4ebb332bb70de,00149f2e90fb725c9b9e062e6fe6ccf4ebb332bb70de
675,683,8,block.tx[2].vout[1].value_satoshi,f98ddd0500000000,98405881
683,684,1,block.tx[2].vout[1].script_pubkey_length,19,25
684,709,25,block.tx[2].vout[1].script_pubkey,76a914eb9486020ce3be5122a6f76df68f6f1fb2c1ecd388ac,76a914eb9486020ce3be5122a6f76df68f6f1fb2c1ecd388ac
709,713,4,block.tx[2].locktime,00000000,0
713,717,4,block.tx[3].version,01000000,1
717,718,1,block.tx[3].marker,00,0 (SegWit marker)
718,719,1,block.tx[3].flag,01,1 (witness present)
719,720,1,block.tx[3].input_count,01,1
720,752,32,block.tx[3].vin[0].prev_txid_le,6da38d6b38822d1fb3f1f89ca16f4115a01fd035c6bb568b66136e0ee0adc500,6da38d6b38822d1fb3f1f89ca16f4115a01fd035c6bb568b66136e0ee0adc500
752,756,4,block.tx[3].vin[0].prev_vout,03000000,3
756,757,1,block.tx[3].vin[0].script_sig_length,00,0
757,757,0,block.tx[3].vin[0].script_sig,,
757,761,4,block.tx[3].vin[0].sequence,ffffffff,4294967295
761,762,1,block.tx[3].output_count,04,4
762,770,8,block.tx[3].vout[0].value_satoshi,1027000000000000,10000
770,771,1,block.tx[3].vout[0].script_pubkey_length,16,22
771,793,22,block.tx[3].vout[0].script_pubkey,00149df09d177ab56fb2b5ee790c367a2deac0abf7b6,00149df09d177ab56fb2b5ee790c367a2deac0abf7b6
793,801,8,block.tx[3].vout[1].value_satoshi,1027000000000000,10000
801,802,1,block.tx[3].vout[1].script_pubkey_length,16,22
802,824,22,block.tx[3].vout[1].script_pubkey,00147b467d0a528da03560d37f90e7dc3cac8dacf836,00147b467d0a528da03560d37f90e7dc3cac8dacf836
824,832,8,block.tx[3].vout[2].value_satoshi,1027000000000000,10000
832,833,1,block.tx[3].vout[2].script_pubkey_length,16,22
833,855,22,block.tx[3].vout[2].script_pubkey,0014698d101a6675ae5362fe07dc2f6e72833f08f496,0014698d101a6675ae5362fe07dc2f6e72833f08f496
855,863,8,block.tx[3].vout[3].value_satoshi,cee3ef0600000000,116384718
863,864,1,block.tx[3].vout[3].script_pubkey_length,22,34
864,898,34,block.tx[3].vout[3].script_pubkey,00208ae2978873f9140f467cd023e6fdef19c545c50f3166d70f11ecb96a76403dbb,00208ae2978873f9140f467cd023e6fdef19c545c50f3166d70f11ecb96a76403dbb
898,899,1,block.tx[3].vin[0].witness_count,04,4
899,900,1,block.tx[3].vin[0].witness[0].length,00,0
900,900,0,block.tx[3].vin[0].witness[0].data,,
900,901,1,block.tx[3].vin[0].witness[1].length,48,72
901,973,72,block.tx[3].vin[0].witness[1].data,3045022100b561591524594b996993a1393d23f7dbda2417a40e1ec57f405b67b12d5df39502202df06dddcec427d3b8c76eb8a580113610fbf6b53811206f052c1db91ccf068801,3045022100b561591524594b996993a1393d23f7dbda2417a40e1ec57f405b67b12d5df39502202df06dddcec427d3b8c76eb8a580113610fbf6b53811206f052c1db91ccf068801
973,974,1,block.tx[3].vin[0].witness[2].length,47,71
974,1045,71,block.tx[3].vin[0].witness[2].data,304402206d991fa4b54c443c57bac940e7c898a62dc8653011744dca6d94f00bef3d61d302206ed91d1e7abdd1e18eb628d21c1a8a8d3c2f214d72f1bd518d239f3c1f2edae301,304402206d991fa4b54c443c57bac940e7c898a62dc8653011744dca6d94f00bef3d61d302206ed91d1e7abdd1e18eb628d21c1a8a8d3c2f214d72f1bd518d239f3c1f2edae301
1045,1046,1,block.tx[3].vin[0].witness[3].length,69,105
1046,1151,105,block.tx[3].vin[0].witness[3].data,522102850dba2c9f828a68add09ae100b76abcbd2ebaf8cd121841f59f22a78b853b472102af0de28fe5c9b667f7819ab5e82e0ec657799de98892d216fde7e73afad0965b210397eb406b2f62065254370b0553a20ae93492deb9c53d215e2059881fa6c332af53ae,522102850dba2c9f828a68add09ae100b76abcbd2ebaf8cd121841f59f22a78b853b472102af0de28fe5c9b667f7819ab5e82e0ec657799de98892d216fde7e73afad0965b210397eb406b2f62065254370b0553a20ae93492deb9c53d215e2059881fa6c332af53ae
1151,1155,4,block.tx[3].locktime,00000000,0
1155,1159,4,block.tx[4].version,01000000,1
1159,1160,1,block.tx[4].marker,00,0 (SegWit marker)
1160,1161,1,block.tx[4].flag,01,1 (witness present)
1161,1162,1,block.tx[4].input_count,01,1
1162,1194,32,block.tx[4].vin[0].prev_txid_le,dbe3fbd57dea97f491aa50e0ad7939e4ea293e69022faa08580021bae9d64dad,dbe3fbd57dea97f491aa50e0ad7939e4ea293e69022faa08580021bae9d64dad
1194,1198,4,block.tx[4].vin[0].prev_vout,01000000,1
1198,1199,1,block.tx[4].vin[0].script_sig_length,00,0
1199,1199,0,block.tx[4].vin[0].script_sig,,
1199,1203,4,block.tx[4].vin[0].sequence,ffffffff,4294967295
1203,1204,1,block.tx[4].output_count,02,2
1204,1212,8,block.tx[4].vout[0].value_satoshi,1027000000000000,10000
1212,1213,1,block.tx[4].vout[0].script_pubkey_length,16,22
1213,1235,22,block.tx[4].vout[0].script_pubkey,00149f2e90fb725c9b9e062e6fe6ccf4ebb332bb70de,00149f2e90fb725c9b9e062e6fe6ccf4ebb332bb70de
1235,1243,8,block.tx[4].vout[1].value_satoshi,2daa160700000000,118925869
1243,1244,1,block.tx[4].vout[1].script_pubkey_length,22,34
1244,1278,34,block.tx[4].vout[1].script_pubkey,0020e96242e8d70566458a425d6b3cd8ed81edd5c7f8501ae11bfd1358a780c389f8,0020e96242e8d70566458a425d6b3cd8ed81edd5c7f8501ae11bfd1358a780c389f8
1278,1279,1,block.tx[4].vin[0].witness_count,04,4
1279,1280,1,block.tx[4].vin[0].witness[0].length,00,0
1280,1280,0,block.tx[4].vin[0].witness[0].data,,
1280,1281,1,block.tx[4].vin[0].witness[1].length,47,71
1281,1352,71,block.tx[4].vin[0].witness[1].data,304402206eb77c26e9d29633860b9268a8729687878bf8ff876268d7d0eaa6846b92e4db022035587d18a60e1af724d32580bbb29bde4d4d96a1709bd677105529aec4885be701,304402206eb77c26e9d29633860b9268a8729687878bf8ff876268d7d0eaa6846b92e4db022035587d18a60e1af724d32580bbb29bde4d4d96a1709bd677105529aec4885be701
1352,1353,1,block.tx[4].vin[0].witness[2].length,48,72
1353,1425,72,block.tx[4].vin[0].witness[2].data,3045022100edfbe2dfa7589d0a4f95d584d2ae7d79890ecf510d8dc1e0f62abd5e44a9e8ce02204a77f94352a16da071c46e39420b5fe3ea487ed6dc3eaff0fadc9e16798b25d101,3045022100edfbe2dfa7589d0a4f95d584d2ae7d79890ecf510d8dc1e0f62abd5e44a9e8ce02204a77f94352a16da071c46e39420b5fe3ea487ed6dc3eaff0fadc9e16798b25d101
1425,1426,1,block.tx[4].vin[0].witness[3].length,69,105
1426,1531,105,block.tx[4].vin[0].witness[3].data,522102850dba2c9f828a68add09ae100b76abcbd2ebaf8cd121841f59f22a78b853b4721034d9f7536a0a656eda1e8306f085b35c31f47f2c6ffa24eec6c72909164fb058e21035b18bb0fa1be94b82b16f4ba8994c864d64266c1d8d756d08feb9331f5d2163453ae,522102850dba2c9f828a68add09ae100b76abcbd2ebaf8cd121841f59f22a78b853b4721034d9f7536a0a656eda1e8306f085b35c31f47f2c6ffa24eec6c72909164fb058e21035b18bb0fa1be94b82b16f4ba8994c864d64266c1d8d756d08feb9331f5d2163453ae
1531,1535,4,block.tx[4].locktime,00000000,0
1535,1539,4,block.tx[5].version,01000000,1
1539,1540,1,block.tx[5].input_count,01,1
1540,1572,32,block.tx[5].vin[0].prev_txid_le,b95eff8ef5769cd3adf74effea501cd683b52a34522772156fb19b2c07efe46c,b95eff8ef5769cd3adf74effea501cd683b52a34522772156fb19b2c07efe46c
1572,1576,4,block.tx[5].vin[0].prev_vout,03000000,3
1576,1577,1,block.tx[5].vin[0].script_sig_length,6b,107
1577,1684,107,block.tx[5].vin[0].script_sig,483045022100d9ce71fdb77d723bcc1f103e0e7c810749ece670c982167a8e44ea936a6e111602201a64298c139927bb338b7b82fef70f3c16505cef054866b69671019bc98529e701210347bf8ff5335fc1e7ebd5cbb081e7da7fc5c144f240cbe41ed712bea3bb5664b3,483045022100d9ce71fdb77d723bcc1f103e0e7c810749ece670c982167a8e44ea936a6e111602201a64298c139927bb338b7b82fef70f3c16505cef054866b69671019bc98529e701210347bf8ff5335fc1e7ebd5cbb081e7da7fc5c144f240cbe41ed712bea3bb5664b3
1684,1688,4,block.tx[5].vin[0].sequence,ffffffff,4294967295
1688,1689,1,block.tx[5].output_count,04,4
1689,1697,8,block.tx[5].vout[0].value_satoshi,1027000000000000,10000
1697,1698,1,block.tx[5].vout[0].script_pubkey_length,16,22
1698,1720,22,block.tx[5].vout[0].script_pubkey,00149df09d177ab56fb2b5ee790c367a2deac0abf7b6,00149df09d177ab56fb2b5ee790c367a2deac0abf7b6
1720,1728,8,block.tx[5].vout[1].value_satoshi,1027000000000000,10000
1728,1729,1,block.tx[5].vout[1].script_pubkey_length,16,22
1729,1751,22,block.tx[5].vout[1].script_pubkey,00147b467d0a528da03560d37f90e7dc3cac8dacf836,00147b467d0a528da03560d37f90e7dc3cac8dacf836
1751,1759,8,block.tx[5].vout[2].value_satoshi,1027000000000000,10000
1759,1760,1,block.tx[5].vout[2].script_pubkey_length,16,22
1760,1782,22,block.tx[5].vout[2].script_pubkey,0014698d101a6675ae5362fe07dc2f6e72833f08f496,0014698d101a6675ae5362fe07dc2f6e72833f08f496
1782,1790,8,block.tx[5].vout[3].value_satoshi,7b13a90500000000,94966651
1790,1791,1,block.tx[5].vout[3].script_pubkey_length,19,25
1791,1816,25,block.tx[5].vout[3].script_pubkey,76a9146ecae2f87ab39d71cc0423ae03f5ed53e82204c788ac,76a9146ecae2f87ab39d71cc0423ae03f5ed53e82204c788ac
1816,1820,4,block.tx[5].locktime,00000000,0
1820,1824,4,block.tx[6].version,01000000,1
1824,1825,1,block.tx[6].marker,00,0 (SegWit marker)
1825,1826,1,block.tx[6].flag,01,1 (witness present)
1826,1827,1,block.tx[6].input_count,01,1
1827,1859,32,block.tx[6].vin[0].prev_txid_le,249f3269709c4c6ffd830adbd68919ad8447cc87dd596f2df0ca706018275890,249f3269709c4c6ffd830adbd68919ad8447cc87dd596f2df0ca706018275890
1859,1863,4,block.tx[6].vin[0].prev_vout,03000000,3
1863,1864,1,block.tx[6].vin[0].script_sig_length,00,0
1864,1864,0,block.tx[6].vin[0].script_sig,,
1864,1868,4,block.tx[6].vin[0].sequence,ffffffff,4294967295
