index,txid,wtxid,segwit,size,stripped_size,weight,vsize
0,be969c25b04d9a597bc64d5db15c8da829e7873f38dad96bca9196cbf9d6d7d2,482221d526711b27e82d7634f3e647fb77d3f1a6f68c47c2b3e8f85a1fbca9b1,True,188,152,644,161
1,1dd070a132e4c5dd1ab2fde424b82903a53e6afa22b921d9448590b71a5bcda7,7cf07f44093e8298477643bd9584e9063023abf881343056be21a7c50c8a4021,True,222,113,561,141
2,fde5e62c555e8a5fc931f1391e403a1c773b755fd036be559a86978a001ea375,fde5e62c555e8a5fc931f1391e403a1c773b755fd036be559a86978a001ea375,False,222,222,888,222
3,f1d34c37724860d3945a505e2e64866825f8b610cc578716096606ae20f4ec16,5223a9d1616f68001e99c02c966c0bc709ccb970954da228d8338525bed0d4b9,True,442,187,1003,251
4,f9b0b9cd00d0f2360b85a74df0eace3ad93787af8edc36761ee585a507ca3156,b84969eb07fba533ce942268bb642df336a1d95b1c3e5f6335f0c7c5abbcda11,True,380,125,755,189
5,27cbd09a00f933ce483b7d115540863bad0fa24fbcf32830a481f51b59d28cdb,27cbd09a00f933ce483b7d115540863bad0fa24fbcf32830a481f51b59d28cdb,False,285,285,1140,285
6,e129119062c69bde817a7546463da826b6d72af88cffe2f074641f0f50ba940b,8748176a258643c11dcd79812ec673f362a11eeae94cdbd84fd8bf276a6c6033,True,285,175,810,203
7,e4cddabf1a1c2e30ce85f3f6e3bb6e7689bb9b85255ab76b5edcf26f2b1a264c,be31509e297d314874f67a108b143388d82d973ac77965d325a69bb7a11fc821,True,222,113,561,141
8,5172cd7da4628d94ee7a49a32b2accb2270a9a9dbb544675d3b531903a664d18,ce3f8190de8c043bce66eb391b68de7167cf068f76f2b49777017279cf56d709,True,420,352,1476,369
9,e787b58ad426b2d6ff4bae051aea8f3448d8cbe1bbd7fdaef535b923221dd657,0bac0a4e000ce82d830bba84b8c8dc006aa6e890d345086949d50d65ee95249a,True,420,352,1476,369
10,26f92755408772dd51233a097952fecec1ed63e994efe227444ad7992d46a68b,7017dfb35bfb5a7a0245e48a5b9979cc9d4788e942a1848e10af62d6e91b4a49,True,205,137,616,154
11,f475e7630b28642e044a996486a42d631ce2c4b15439671dafff7d0f96204ee3,35bb74ff82d2f27cad48f4d0472901b4dd4cc193640c7751adeac290879c578e,True,205,137,616,154
12,30359f361a3d9e3a683416fdd668c0d360131734194fc81743caf5bf205ef1ea,c61abc0d19a2f02f85387ff5763643fd24c88281295689a8806ae115f8b1d3db,True,205,137,616,154
13,4aa330ae4ecf52c82f38d22149b2b7da79f928e1cdad47bb33b553c093a25f7a,7ea8089a0b477ef55a2d1ae80bd24f2025ef6020b1207e224177e9ff52f8b9b7,True,263,246,1001,251
