offset_dec offset_hex byte_hex bits       field
         0 0x00000000 02       00000010 tx.version
         1 0x00000001 00       00000000 tx.version
         2 0x00000002 00       00000000 tx.version
         3 0x00000003 00       00000000 tx.version
         4 0x00000004 00       00000000 tx.marker
         5 0x00000005 01       00000001 tx.flag
         6 0x00000006 01       00000001 tx.input_count
         7 0x00000007 7a       01111010 tx.vin[0].prev_txid_le
         8 0x00000008 5f       01011111 tx.vin[0].prev_txid_le
         9 0x00000009 a2       10100010 tx.vin[0].prev_txid_le
        10 0x0000000a 93       10010011 tx.vin[0].prev_txid_le
        11 0x0000000b c0       11000000 tx.vin[0].prev_txid_le
        12 0x0000000c 53       01010011 tx.vin[0].prev_txid_le
        13 0x0000000d b5       10110101 tx.vin[0].prev_txid_le
        14 0x0000000e 33       00110011 tx.vin[0].prev_txid_le
        15 0x0000000f bb       10111011 tx.vin[0].prev_txid_le
        16 0x00000010 47       01000111 tx.vin[0].prev_txid_le
        17 0x00000011 ad       10101101 tx.vin[0].prev_txid_le
        18 0x00000012 cd       11001101 tx.vin[0].prev_txid_le
        19 0x00000013 e1       11100001 tx.vin[0].prev_txid_le
        20 0x00000014 28       00101000 tx.vin[0].prev_txid_le
        21 0x00000015 f9       11111001 tx.vin[0].prev_txid_le
        22 0x00000016 79       01111001 tx.vin[0].prev_txid_le
        23 0x00000017 da       11011010 tx.vin[0].prev_txid_le
        24 0x00000018 b7       10110111 tx.vin[0].prev_txid_le
        25 0x00000019 b2       10110010 tx.vin[0].prev_txid_le
        26 0x0000001a 49       01001001 tx.vin[0].prev_txid_le
        27 0x0000001b 21       00100001 tx.vin[0].prev_txid_le
        28 0x0000001c d2       11010010 tx.vin[0].prev_txid_le
        29 0x0000001d 38       00111000 tx.vin[0].prev_txid_le
        30 0x0000001e 2f       00101111 tx.vin[0].prev_txid_le
        31 0x0000001f c8       11001000 tx.vin[0].prev_txid_le
        32 0x00000020 52       01010010 tx.vin[0].prev_txid_le
        33 0x00000021 cf       11001111 tx.vin[0].prev_txid_le
        34 0x00000022 4e       01001110 tx.vin[0].prev_txid_le
        35 0x00000023 ae       10101110 tx.vin[0].prev_txid_le
        36 0x00000024 30       00110000 tx.vin[0].prev_txid_le
        37 0x00000025 a3       10100011 tx.vin[0].prev_txid_le
        38 0x00000026 4a       01001010 tx.vin[0].prev_txid_le
        39 0x00000027 00       00000000 tx.vin[0].prev_vout
        40 0x00000028 00       00000000 tx.vin[0].prev_vout
        41 0x00000029 00       00000000 tx.vin[0].prev_vout
        42 0x0000002a 00       00000000 tx.vin[0].prev_vout
        43 0x0000002b 00       00000000 tx.vin[0].script_sig_length
        44 0x0000002c fd       11111101 tx.vin[0].sequence
        45 0x0000002d ff       11111111 tx.vin[0].sequence
        46 0x0000002e ff       11111111 tx.vin[0].sequence
        47 0x0000002f ff       11111111 tx.vin[0].sequence
        48 0x00000030 02       00000010 tx.output_count
        49 0x00000031 90       10010000 tx.vout[0].value_satoshi
        50 0x00000032 01       00000001 tx.vout[0].value_satoshi
        51 0x00000033 00       00000000 tx.vout[0].value_satoshi
        52 0x00000034 00       00000000 tx.vout[0].value_satoshi
        53 0x00000035 00       00000000 tx.vout[0].value_satoshi
        54 0x00000036 00       00000000 tx.vout[0].value_satoshi
        55 0x00000037 00       00000000 tx.vout[0].value_satoshi
        56 0x00000038 00       00000000 tx.vout[0].value_satoshi
        57 0x00000039 16       00010110 tx.vout[0].script_pubkey_length
        58 0x0000003a 00       00000000 tx.vout[0].script_pubkey
        59 0x0000003b 14       00010100 tx.vout[0].script_pubkey
        60 0x0000003c b2       10110010 tx.vout[0].script_pubkey
        61 0x0000003d e1       11100001 tx.vout[0].script_pubkey
        62 0x0000003e ef       11101111 tx.vout[0].script_pubkey
        63 0x0000003f 5a       01011010 tx.vout[0].script_pubkey
        64 0x00000040 68       01101000 tx.vout[0].script_pubkey
        65 0x00000041 d1       11010001 tx.vout[0].script_pubkey
        66 0x00000042 98       10011000 tx.vout[0].script_pubkey
        67 0x00000043 f1       11110001 tx.vout[0].script_pubkey
        68 0x00000044 9b       10011011 tx.vout[0].script_pubkey
        69 0x00000045 ed       11101101 tx.vout[0].script_pubkey
        70 0x00000046 1c       00011100 tx.vout[0].script_pubkey
        71 0x00000047 a4       10100100 tx.vout[0].script_pubkey
        72 0x00000048 9c       10011100 tx.vout[0].script_pubkey
        73 0x00000049 2e       00101110 tx.vout[0].script_pubkey
        74 0x0000004a d4       11010100 tx.vout[0].script_pubkey
        75 0x0000004b 96       10010110 tx.vout[0].script_pubkey
        76 0x0000004c d3       11010011 tx.vout[0].script_pubkey
        77 0x0000004d 49       01001001 tx.vout[0].script_pubkey
        78 0x0000004e 9a       10011010 tx.vout[0].script_pubkey
        79 0x0000004f 3f       00111111 tx.vout[0].script_pubkey
        80 0x00000050 3e       00111110 tx.vout[1].value_satoshi
        81 0x00000051 01       00000001 tx.vout[1].value_satoshi
        82 0x00000052 00       00000000 tx.vout[1].value_satoshi
        83 0x00000053 00       00000000 tx.vout[1].value_satoshi
        84 0x00000054 00       00000000 tx.vout[1].value_satoshi
        85 0x00000055 00       00000000 tx.vout[1].value_satoshi
        86 0x00000056 00       00000000 tx.vout[1].value_satoshi
        87 0x00000057 00       00000000 tx.vout[1].value_satoshi
        88 0x00000058 16       00010110 tx.vout[1].script_pubkey_length
        89 0x00000059 00       00000000 tx.vout[1].script_pubkey
        90 0x0000005a 14       00010100 tx.vout[1].script_pubkey
        91 0x0000005b 73       01110011 tx.vout[1].script_pubkey
        92 0x0000005c f6       11110110 tx.vout[1].script_pubkey
        93 0x0000005d 8b       10001011 tx.vout[1].script_pubkey
        94 0x0000005e 13       00010011 tx.vout[1].script_pubkey
        95 0x0000005f 7b       01111011 tx.vout[1].script_pubkey
        96 0x00000060 f1       11110001 tx.vout[1].script_pubkey
        97 0x00000061 ee       11101110 tx.vout[1].script_pubkey
        98 0x00000062 d5       11010101 tx.vout[1].script_pubkey
        99 0x00000063 79       01111001 tx.vout[1].script_pubkey
       100 0x00000064 fd       11111101 tx.vout[1].script_pubkey
       101 0x00000065 81       10000001 tx.vout[1].script_pubkey
       102 0x00000066 9b       10011011 tx.vout[1].script_pubkey
       103 0x00000067 86       10000110 tx.vout[1].script_pubkey
       104 0x00000068 5f       01011111 tx.vout[1].script_pubkey
       105 0x00000069 fc       11111100 tx.vout[1].script_pubkey
       106 0x0000006a c2       11000010 tx.vout[1].script_pubkey
       107 0x0000006b 6f       01101111 tx.vout[1].script_pubkey
       108 0x0000006c 27       00100111 tx.vout[1].script_pubkey
       109 0x0000006d 79       01111001 tx.vout[1].script_pubkey
       110 0x0000006e 4b       01001011 tx.vout[1].script_pubkey
       111 0x0000006f 02       00000010 tx.vin[0].witness_count
       112 0x00000070 48       01001000 tx.vin[0].witness[0].length
       113 0x00000071 30       00110000 tx.vin[0].witness[0].data
       114 0x00000072 45       01000101 tx.vin[0].witness[0].data
       115 0x00000073 02       00000010 tx.vin[0].witness[0].data
       116 0x00000074 21       00100001 tx.vin[0].witness[0].data
       117 0x00000075 00       00000000 tx.vin[0].witness[0].data
       118 0x00000076 b6       10110110 tx.vin[0].witness[0].data
       119 0x00000077 2d       00101101 tx.vin[0].witness[0].data
       120 0x00000078 9b       10011011 tx.vin[0].witness[0].data
       121 0x00000079 08       00001000 tx.vin[0].witness[0].data
       122 0x0000007a f0       11110000 tx.vin[0].witness[0].data
       123 0x0000007b c3       11000011 tx.vin[0].witness[0].data
       124 0x0000007c ad       10101101 tx.vin[0].witness[0].data
       125 0x0000007d 40       01000000 tx.vin[0].witness[0].data
       126 0x0000007e 47       01000111 tx.vin[0].witness[0].data
       127 0x0000007f 34       00110100 tx.vin[0].witness[0].data
       128 0x00000080 2a       00101010 tx.vin[0].witness[0].data
       129 0x00000081 89       10001001 tx.vin[0].witness[0].data
       130 0x00000082 92       10010010 tx.vin[0].witness[0].data
       131 0x00000083 6e       01101110 tx.vin[0].witness[0].data
       132 0x00000084 fc       11111100 tx.vin[0].witness[0].data
       133 0x00000085 95       10010101 tx.vin[0].witness[0].data
       134 0x00000086 55       01010101 tx.vin[0].witness[0].data
       135 0x00000087 b4       10110100 tx.vin[0].witness[0].data
       136 0x00000088 1f       00011111 tx.vin[0].witness[0].data
       137 0x00000089 01       00000001 tx.vin[0].witness[0].data
       138 0x0000008a 1e       00011110 tx.vin[0].witness[0].data
       139 0x0000008b f3       11110011 tx.vin[0].witness[0].data
       140 0x0000008c 88       10001000 tx.vin[0].witness[0].data
       141 0x0000008d 25       00100101 tx.vin[0].witness[0].data
       142 0x0000008e b3       10110011 tx.vin[0].witness[0].data
       143 0x0000008f f1       11110001 tx.vin[0].witness[0].data
       144 0x00000090 6e       01101110 tx.vin[0].witness[0].data
       145 0x00000091 1e       00011110 tx.vin[0].witness[0].data
       146 0x00000092 da       11011010 tx.vin[0].witness[0].data
       147 0x00000093 ca       11001010 tx.vin[0].witness[0].data
       148 0x00000094 5f       01011111 tx.vin[0].witness[0].data
       149 0x00000095 af       10101111 tx.vin[0].witness[0].data
       150 0x00000096 02       00000010 tx.vin[0].witness[0].data
       151 0x00000097 20       00100000 tx.vin[0].witness[0].data
       152 0x00000098 52       01010010 tx.vin[0].witness[0].data
       153 0x00000099 2e       00101110 tx.vin[0].witness[0].data
       154 0x0000009a 66       01100110 tx.vin[0].witness[0].data
       155 0x0000009b 4d       01001101 tx.vin[0].witness[0].data
       156 0x0000009c e5       11100101 tx.vin[0].witness[0].data
       157 0x0000009d 87       10000111 tx.vin[0].witness[0].data
       158 0x0000009e 46       01000110 tx.vin[0].witness[0].data
       159 0x0000009f 70       01110000 tx.vin[0].witness[0].data
       160 0x000000a0 51       01010001 tx.vin[0].witness[0].data
       161 0x000000a1 5a       01011010 tx.vin[0].witness[0].data
       162 0x000000a2 5f       01011111 tx.vin[0].witness[0].data
       163 0x000000a3 60       01100000 tx.vin[0].witness[0].data
       164 0x000000a4 49       01001001 tx.vin[0].witness[0].data
       165 0x000000a5 d9       11011001 tx.vin[0].witness[0].data
       166 0x000000a6 2d       00101101 tx.vin[0].witness[0].data
       167 0x000000a7 7d       01111101 tx.vin[0].witness[0].data
       168 0x000000a8 b9       10111001 tx.vin[0].witness[0].data
       169 0x000000a9 87       10000111 tx.vin[0].witness[0].data
       170 0x000000aa 5d       01011101 tx.vin[0].witness[0].data
       171 0x000000ab 5c       01011100 tx.vin[0].witness[0].data
       172 0x000000ac 05       00000101 tx.vin[0].witness[0].data
       173 0x000000ad b8       10111000 tx.vin[0].witness[0].data
       174 0x000000ae de       11011110 tx.vin[0].witness[0].data
