start,end_exclusive,length,field,wire_hex,interpreted_value
0,4,4,tx.version,02000000,2
4,5,1,tx.marker,00,0 (SegWit marker)
5,6,1,tx.flag,01,1 (witness present)
6,7,1,tx.input_count,01,1
7,39,32,tx.vin[0].prev_txid_le,7a5fa293c053b533bb47adcde128f979dab7b24921d2382fc852cf4eae30a34a,7a5fa293c053b533bb47adcde128f979dab7b24921d2382fc852cf4eae30a34a
39,43,4,tx.vin[0].prev_vout,00000000,0
43,44,1,tx.vin[0].script_sig_length,00,0
44,44,0,tx.vin[0].script_sig,,
44,48,4,tx.vin[0].sequence,fdffffff,4294967293
48,49,1,tx.output_count,02,2
49,57,8,tx.vout[0].value_satoshi,9001000000000000,400
57,58,1,tx.vout[0].script_pubkey_length,16,22
58,80,22,tx.vout[0].script_pubkey,0014b2e1ef5a68d198f19bed1ca49c2ed496d3499a3f,0014b2e1ef5a68d198f19bed1ca49c2ed496d3499a3f
80,88,8,tx.vout[1].value_satoshi,3e01000000000000,318
88,89,1,tx.vout[1].script_pubkey_length,16,22
89,111,22,tx.vout[1].script_pubkey,001473f68b137bf1eed579fd819b865ffcc26f27794b,001473f68b137bf1eed579fd819b865ffcc26f27794b
111,112,1,tx.vin[0].witness_count,02,2
112,113,1,tx.vin[0].witness[0].length,48,72
113,185,72,tx.vin[0].witness[0].data,3045022100b62d9b08f0c3ad4047342a89926efc9555b41f011ef38825b3f16e1edaca5faf0220522e664de5874670515a5f6049d92d7db9875d5c05b8deda8a65007539187d6a01,3045022100b62d9b08f0c3ad4047342a89926efc9555b41f011ef38825b3f16e1edaca5faf0220522e664de5874670515a5f6049d92d7db9875d5c05b8deda8a65007539187d6a01
185,186,1,tx.vin[0].witness[1].length,21,33
186,219,33,tx.vin[0].witness[1].data,027bcb30196c0ffaee495d2c054e1bf7483bfa470c08dee12cef47d729d5cb50b2,027bcb30196c0ffaee495d2c054e1bf7483bfa470c08dee12cef47d729d5cb50b2
219,223,4,tx.locktime,00000000,0
