start,end_exclusive,length,field,wire_hex,interpreted_value
0,4,4,block.header.version,00000020,536870912
4,36,32,block.header.previous_hash_le,21ee742b75bf075aeaa2e9ebaf87a85e8648bb89ec2fbe708761a99611000000,21ee742b75bf075aeaa2e9ebaf87a85e8648bb89ec2fbe708761a99611000000
36,68,32,block.header.merkle_root_le,ad63769b232352b9df6bbce4a0857a92dc393e39176cba1104cc6161a18f8bba,ad63769b232352b9df6bbce4a0857a92dc393e39176cba1104cc6161a18f8bba
68,72,4,block.header.timestamp,02c75d6a,1784530690
72,76,4,block.header.bits,71ab141d,487893873
76,80,4,block.header.nonce,64269f07,127870564
80,81,1,block.transaction_count,29,41
81,85,4,block.tx[0].version,02000000,2
85,86,1,block.tx[0].marker,00,0 (SegWit marker)
86,87,1,block.tx[0].flag,01,1 (witness present)
87,88,1,block.tx[0].input_count,01,1
88,120,32,block.tx[0].vin[0].prev_txid_le,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
120,124,4,block.tx[0].vin[0].prev_vout,ffffffff,4294967295
124,125,1,block.tx[0].vin[0].script_sig_length,0f,15
125,140,15,block.tx[0].vin[0].script_sig,036dca040a2f7369676e65743a332f,036dca040a2f7369676e65743a332f
140,144,4,block.tx[0].vin[0].sequence,feffffff,4294967294
144,145,1,block.tx[0].output_count,02,2
145,153,8,block.tx[0].vout[0].value_satoshi,89f22c9b00000000,2603414153
153,154,1,block.tx[0].vout[0].script_pubkey_length,16,22
154,176,22,block.tx[0].vout[0].script_pubkey,00141ebfbc64c4d28f44c7afac95df51b1281986e6de,00141ebfbc64c4d28f44c7afac95df51b1281986e6de
176,184,8,block.tx[0].vout[1].value_satoshi,0000000000000000,0
184,185,1,block.tx[0].vout[1].script_pubkey_length,77,119
185,304,119,block.tx[0].vout[1].script_pubkey,6a24aa21a9edd7bf3bd98f5e7f462166e9f17b63c61c060efc966504652fd9478d22cf2587884c4fecc7daa24900473044022038d38d73d9c882882a7bff36cf2117e1b6c684bb3cd5ca918e5a8d6ffe6bf2f7022052aefdfb9fc140cdf6f724c97ba358a66f813f49e29f7bf5e975bf3b855aae7a0100,6a24aa21a9edd7bf3bd98f5e7f462166e9f17b63c61c060efc966504652fd9478d22cf2587884c4fecc7daa24900473044022038d38d73d9c882882a7bff36cf2117e1b6c684bb3cd5ca918e5a8d6ffe6bf2f7022052aefdfb9fc140cdf6f724c97ba358a66f813f49e29f7bf5e975bf3b855aae7a0100
304,305,1,block.tx[0].vin[0].witness_count,01,1
305,306,1,block.tx[0].vin[0].witness[0].length,20,32
306,338,32,block.tx[0].vin[0].witness[0].data,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
338,342,4,block.tx[0].locktime,6cca0400,313964
342,346,4,block.tx[1].version,02000000,2
346,347,1,block.tx[1].marker,00,0 (SegWit marker)
347,348,1,block.tx[1].flag,01,1 (witness present)
348,349,1,block.tx[1].input_count,02,2
349,381,32,block.tx[1].vin[0].prev_txid_le,b118e118050f9ffc60afeb1a83e700008656685cc81c1c450a408462689c0c9c,b118e118050f9ffc60afeb1a83e700008656685cc81c1c450a408462689c0c9c
381,385,4,block.tx[1].vin[0].prev_vout,01000000,1
385,386,1,block.tx[1].vin[0].script_sig_length,00,0
386,386,0,block.tx[1].vin[0].script_sig,,
386,390,4,block.tx[1].vin[0].sequence,feffffff,4294967294
390,422,32,block.tx[1].vin[1].prev_txid_le,b487b26550c2b57ec1b4d8cc190c4ff63d0c9dafb7dc45d962e2db3c7d94b8f0,b487b26550c2b57ec1b4d8cc190c4ff63d0c9dafb7dc45d962e2db3c7d94b8f0
422,426,4,block.tx[1].vin[1].prev_vout,17000000,23
426,427,1,block.tx[1].vin[1].script_sig_length,00,0
427,427,0,block.tx[1].vin[1].script_sig,,
427,431,4,block.tx[1].vin[1].sequence,feffffff,4294967294
431,432,1,block.tx[1].output_count,01,1
432,440,8,block.tx[1].vout[0].value_satoshi,0000000000000000,0
440,441,1,block.tx[1].vout[0].script_pubkey_length,1f,31
441,472,31,block.tx[1].vout[0].script_pubkey,6a1d23706172646f6e73616d6f7572616920234672656553616d6f75726169,6a1d23706172646f6e73616d6f7572616920234672656553616d6f75726169
472,473,1,block.tx[1].vin[0].witness_count,01,1
473,474,1,block.tx[1].vin[0].witness[0].length,40,64
474,538,64,block.tx[1].vin[0].witness[0].data,770b38f4dab5c31ebf4f89c28f96c81899708bbab4e44266412ff275eaef7d5431867a9e5b7d6b376849d881aab7a828a62cd53cede8c1cb35e4ed4ee852be12,770b38f4dab5c31ebf4f89c28f96c81899708bbab4e44266412ff275eaef7d5431867a9e5b7d6b376849d881aab7a828a62cd53cede8c1cb35e4ed4ee852be12
538,539,1,block.tx[1].vin[1].witness_count,01,1
539,540,1,block.tx[1].vin[1].witness[0].length,40,64
540,604,64,block.tx[1].vin[1].witness[0].data,18e3351f8557c1571b6ba936774ecfd18334190467c66c8581ec55259e0a32aba48780534e8dc4175ee3534678588fcdc0915656e36467bafdd93fb42cf9a573,18e3351f8557c1571b6ba936774ecfd18334190467c66c8581ec55259e0a32aba48780534e8dc4175ee3534678588fcdc0915656e36467bafdd93fb42cf9a573
604,608,4,block.tx[1].locktime,00000000,0
608,612,4,block.tx[2].version,02000000,2
612,613,1,block.tx[2].marker,00,0 (SegWit marker)
613,614,1,block.tx[2].flag,01,1 (witness present)
614,615,1,block.tx[2].input_count,01,1
615,647,32,block.tx[2].vin[0].prev_txid_le,66daf11193d68a5490e5707dacd1cc1d42af436417ed6754eb4ced168bbe984d,66daf11193d68a5490e5707dacd1cc1d42af436417ed6754eb4ced168bbe984d
647,651,4,block.tx[2].vin[0].prev_vout,04000000,4
651,652,1,block.tx[2].vin[0].script_sig_length,00,0
652,652,0,block.tx[2].vin[0].script_sig,,
652,656,4,block.tx[2].vin[0].sequence,90000000,144
656,657,1,block.tx[2].output_count,01,1
657,665,8,block.tx[2].vout[0].value_satoshi,f276f50500000000,99972850
665,666,1,block.tx[2].vout[0].script_pubkey_length,16,22
666,688,22,block.tx[2].vout[0].script_pubkey,0014360a3ba02d9603554f7746bf90e7c10d107d2cca,0014360a3ba02d9603554f7746bf90e7c10d107d2cca
688,689,1,block.tx[2].vin[0].witness_count,0b,11
689,690,1,block.tx[2].vin[0].witness[0].length,04,4
690,694,4,block.tx[2].vin[0].witness[0].data,00c00b20,00c00b20
694,695,1,block.tx[2].vin[0].witness[1].length,02,2
695,697,2,block.tx[2].vin[0].witness[1].data,c37c,c37c
697,698,1,block.tx[2].vin[0].witness[2].length,0c,12
698,710,12,block.tx[2].vin[0].witness[2].data,507b5c6a0000101b043d1604,507b5c6a0000101b043d1604
710,711,1,block.tx[2].vin[0].witness[3].length,20,32
711,743,32,block.tx[2].vin[0].witness[3].data,fae0d5a0c99f34664f4a00cda86eea93950c62bd2c5aa71614b01addd17b889d,fae0d5a0c99f34664f4a00cda86eea93950c62bd2c5aa71614b01addd17b889d
743,744,1,block.tx[2].vin[0].witness[4].length,40,64
