index,txid,wtxid,segwit,size,stripped_size,weight,vsize
0,f971cd1277ebae95b3d5f62c3c9c7ef8fc7a8a409635494b4de0be2b4858cfe7,5ee3d5c281da51af4c8e3ab4744fbc45404992417daee0cb966b4e2a034babe2,True,261,225,936,234
1,61ef99b7de68b9d79ee6c074e6b425e8b23070bc4ea425deefa264c2a9ef5b44,b4f81422044bb84f5792eaa731b7eac283c0ca7a0a7cec382bea95b02b3e85c7,True,266,132,662,166
2,be41d4a1c1c76a55e8073d59c51fc17a710926d41b7996784cb3e728ab41488d,69da21a17e9ab7d18df5f42a0d43e8b1d71bcbb20d8da98f0c06a7c155f007fb,True,480,82,726,182
3,af422849fadeea84765247db206eb449b6f0dd52ed511c39deeb0a5d05ab6490,1055ed767f97ff0eacf6623434d3f400ce67c9fb9d29bf6e0a0c0a17884913d4,True,480,82,726,182
4,b339e65b691c1266ae64c468717e951f000e5c420c4e3e2de5fdaf59567b5226,dc740871b70d4878fc4e8f263cb542d532caf3119b98b32323b5192cbdf7ac1f,True,449,340,1469,368
5,09a792f269eee82aef9f98a07c001d0a64741bd3a835acdcf70f395e8a8f7981,09a792f269eee82aef9f98a07c001d0a64741bd3a835acdcf70f395e8a8f7981,False,142,142,568,142
6,ce493a7d0fa4eb79b9dcc771f70ad9b07c4e2cc86508753016528bfbfd5e8bc3,516be14c8ef98bcab419d53e42a585d5b3acf5fb42c175093078ece061a2d9e0,True,193,125,568,142
7,0fbb138e4df8a76edaed401545fe0c237d886acf5c23a1f4dcb6cbfe723eebfb,0590358d6bbbc8654d3a3a75a9b6e4fb3e5e813c57919381e1e29ff8eb19b4c3,True,193,125,568,142
8,54fb586271099e9658241c32be6b047871f1e8b59243cd08be83a1977ff80cf3,2a1ba8ca2c542980c879d415cbfe38a2723a9a83c7482eb033fde068ee8d082c,True,35991,14482,79437,19860
9,d344b7135f023d60d57cbd33290cedac4d005051602e90c332acbe4e1cca87d7,1c937c7d1eed9815d075daccbe24c52a0ca8a04fafb38daee91da2d5270977ca,True,20776,8362,45862,11466
