offset_dec offset_hex byte_hex bits       field
         0 0x00000000 02       00000010 tx.version
         1 0x00000001 00       00000000 tx.version
         2 0x00000002 00       00000000 tx.version
         3 0x00000003 00       00000000 tx.version
         4 0x00000004 00       00000000 tx.marker
         5 0x00000005 01       00000001 tx.flag
         6 0x00000006 01       00000001 tx.input_count
         7 0x00000007 e0       11100000 tx.vin[0].prev_txid_le
         8 0x00000008 e2       11100010 tx.vin[0].prev_txid_le
         9 0x00000009 2b       00101011 tx.vin[0].prev_txid_le
        10 0x0000000a 12       00010010 tx.vin[0].prev_txid_le
        11 0x0000000b 45       01000101 tx.vin[0].prev_txid_le
        12 0x0000000c 58       01011000 tx.vin[0].prev_txid_le
        13 0x0000000d a8       10101000 tx.vin[0].prev_txid_le
        14 0x0000000e ac       10101100 tx.vin[0].prev_txid_le
        15 0x0000000f 4c       01001100 tx.vin[0].prev_txid_le
        16 0x00000010 4d       01001101 tx.vin[0].prev_txid_le
        17 0x00000011 fe       11111110 tx.vin[0].prev_txid_le
        18 0x00000012 63       01100011 tx.vin[0].prev_txid_le
        19 0x00000013 9e       10011110 tx.vin[0].prev_txid_le
        20 0x00000014 50       01010000 tx.vin[0].prev_txid_le
        21 0x00000015 fe       11111110 tx.vin[0].prev_txid_le
        22 0x00000016 ff       11111111 tx.vin[0].prev_txid_le
        23 0x00000017 51       01010001 tx.vin[0].prev_txid_le
        24 0x00000018 e2       11100010 tx.vin[0].prev_txid_le
        25 0x00000019 b9       10111001 tx.vin[0].prev_txid_le
        26 0x0000001a 49       01001001 tx.vin[0].prev_txid_le
        27 0x0000001b 0f       00001111 tx.vin[0].prev_txid_le
        28 0x0000001c 9d       10011101 tx.vin[0].prev_txid_le
        29 0x0000001d b9       10111001 tx.vin[0].prev_txid_le
        30 0x0000001e 69       01101001 tx.vin[0].prev_txid_le
        31 0x0000001f 52       01010010 tx.vin[0].prev_txid_le
        32 0x00000020 a7       10100111 tx.vin[0].prev_txid_le
        33 0x00000021 49       01001001 tx.vin[0].prev_txid_le
        34 0x00000022 15       00010101 tx.vin[0].prev_txid_le
        35 0x00000023 9e       10011110 tx.vin[0].prev_txid_le
        36 0x00000024 3e       00111110 tx.vin[0].prev_txid_le
        37 0x00000025 02       00000010 tx.vin[0].prev_txid_le
        38 0x00000026 84       10000100 tx.vin[0].prev_txid_le
        39 0x00000027 0d       00001101 tx.vin[0].prev_vout
        40 0x00000028 01       00000001 tx.vin[0].prev_vout
        41 0x00000029 00       00000000 tx.vin[0].prev_vout
        42 0x0000002a 00       00000000 tx.vin[0].prev_vout
        43 0x0000002b 00       00000000 tx.vin[0].script_sig_length
        44 0x0000002c ff       11111111 tx.vin[0].sequence
        45 0x0000002d ff       11111111 tx.vin[0].sequence
        46 0x0000002e ff       11111111 tx.vin[0].sequence
        47 0x0000002f ff       11111111 tx.vin[0].sequence
        48 0x00000030 02       00000010 tx.output_count
        49 0x00000031 20       00100000 tx.vout[0].value_satoshi
        50 0x00000032 a1       10100001 tx.vout[0].value_satoshi
        51 0x00000033 07       00000111 tx.vout[0].value_satoshi
        52 0x00000034 00       00000000 tx.vout[0].value_satoshi
        53 0x00000035 00       00000000 tx.vout[0].value_satoshi
        54 0x00000036 00       00000000 tx.vout[0].value_satoshi
        55 0x00000037 00       00000000 tx.vout[0].value_satoshi
        56 0x00000038 00       00000000 tx.vout[0].value_satoshi
        57 0x00000039 22       00100010 tx.vout[0].script_pubkey_length
        58 0x0000003a 51       01010001 tx.vout[0].script_pubkey
        59 0x0000003b 20       00100000 tx.vout[0].script_pubkey
        60 0x0000003c ac       10101100 tx.vout[0].script_pubkey
        61 0x0000003d 6b       01101011 tx.vout[0].script_pubkey
        62 0x0000003e 43       01000011 tx.vout[0].script_pubkey
        63 0x0000003f 28       00101000 tx.vout[0].script_pubkey
        64 0x00000040 ef       11101111 tx.vout[0].script_pubkey
        65 0x00000041 2b       00101011 tx.vout[0].script_pubkey
        66 0x00000042 da       11011010 tx.vout[0].script_pubkey
        67 0x00000043 05       00000101 tx.vout[0].script_pubkey
        68 0x00000044 ed       11101101 tx.vout[0].script_pubkey
        69 0x00000045 6e       01101110 tx.vout[0].script_pubkey
        70 0x00000046 a3       10100011 tx.vout[0].script_pubkey
        71 0x00000047 20       00100000 tx.vout[0].script_pubkey
        72 0x00000048 83       10000011 tx.vout[0].script_pubkey
        73 0x00000049 f5       11110101 tx.vout[0].script_pubkey
        74 0x0000004a c1       11000001 tx.vout[0].script_pubkey
        75 0x0000004b 3d       00111101 tx.vout[0].script_pubkey
        76 0x0000004c 04       00000100 tx.vout[0].script_pubkey
        77 0x0000004d eb       11101011 tx.vout[0].script_pubkey
        78 0x0000004e f2       11110010 tx.vout[0].script_pubkey
        79 0x0000004f 30       00110000 tx.vout[0].script_pubkey
        80 0x00000050 14       00010100 tx.vout[0].script_pubkey
        81 0x00000051 4a       01001010 tx.vout[0].script_pubkey
        82 0x00000052 64       01100100 tx.vout[0].script_pubkey
        83 0x00000053 3a       00111010 tx.vout[0].script_pubkey
        84 0x00000054 84       10000100 tx.vout[0].script_pubkey
        85 0x00000055 f8       11111000 tx.vout[0].script_pubkey
        86 0x00000056 a7       10100111 tx.vout[0].script_pubkey
        87 0x00000057 d9       11011001 tx.vout[0].script_pubkey
        88 0x00000058 ef       11101111 tx.vout[0].script_pubkey
        89 0x00000059 e2       11100010 tx.vout[0].script_pubkey
        90 0x0000005a b3       10110011 tx.vout[0].script_pubkey
        91 0x0000005b d3       11010011 tx.vout[0].script_pubkey
        92 0x0000005c d2       11010010 tx.vout[1].value_satoshi
        93 0x0000005d 3d       00111101 tx.vout[1].value_satoshi
        94 0x0000005e 04       00000100 tx.vout[1].value_satoshi
        95 0x0000005f 00       00000000 tx.vout[1].value_satoshi
        96 0x00000060 00       00000000 tx.vout[1].value_satoshi
        97 0x00000061 00       00000000 tx.vout[1].value_satoshi
        98 0x00000062 00       00000000 tx.vout[1].value_satoshi
        99 0x00000063 00       00000000 tx.vout[1].value_satoshi
       100 0x00000064 16       00010110 tx.vout[1].script_pubkey_length
       101 0x00000065 00       00000000 tx.vout[1].script_pubkey
       102 0x00000066 14       00010100 tx.vout[1].script_pubkey
       103 0x00000067 fb       11111011 tx.vout[1].script_pubkey
       104 0x00000068 c7       11000111 tx.vout[1].script_pubkey
       105 0x00000069 a1       10100001 tx.vout[1].script_pubkey
       106 0x0000006a 58       01011000 tx.vout[1].script_pubkey
       107 0x0000006b 6f       01101111 tx.vout[1].script_pubkey
       108 0x0000006c c3       11000011 tx.vout[1].script_pubkey
       109 0x0000006d c2       11000010 tx.vout[1].script_pubkey
       110 0x0000006e 89       10001001 tx.vout[1].script_pubkey
       111 0x0000006f af       10101111 tx.vout[1].script_pubkey
       112 0x00000070 9d       10011101 tx.vout[1].script_pubkey
       113 0x00000071 07       00000111 tx.vout[1].script_pubkey
       114 0x00000072 dc       11011100 tx.vout[1].script_pubkey
       115 0x00000073 f2       11110010 tx.vout[1].script_pubkey
       116 0x00000074 49       01001001 tx.vout[1].script_pubkey
       117 0x00000075 fb       11111011 tx.vout[1].script_pubkey
       118 0x00000076 ab       10101011 tx.vout[1].script_pubkey
       119 0x00000077 80       10000000 tx.vout[1].script_pubkey
       120 0x00000078 4e       01001110 tx.vout[1].script_pubkey
       121 0x00000079 7a       01111010 tx.vout[1].script_pubkey
       122 0x0000007a 50       01010000 tx.vout[1].script_pubkey
       123 0x0000007b 02       00000010 tx.vin[0].witness_count
       124 0x0000007c 48       01001000 tx.vin[0].witness[0].length
       125 0x0000007d 30       00110000 tx.vin[0].witness[0].data
       126 0x0000007e 45       01000101 tx.vin[0].witness[0].data
       127 0x0000007f 02       00000010 tx.vin[0].witness[0].data
       128 0x00000080 21       00100001 tx.vin[0].witness[0].data
       129 0x00000081 00       00000000 tx.vin[0].witness[0].data
       130 0x00000082 98       10011000 tx.vin[0].witness[0].data
       131 0x00000083 41       01000001 tx.vin[0].witness[0].data
       132 0x00000084 cd       11001101 tx.vin[0].witness[0].data
       133 0x00000085 53       01010011 tx.vin[0].witness[0].data
       134 0x00000086 5b       01011011 tx.vin[0].witness[0].data
       135 0x00000087 d7       11010111 tx.vin[0].witness[0].data
       136 0x00000088 d3       11010011 tx.vin[0].witness[0].data
       137 0x00000089 36       00110110 tx.vin[0].witness[0].data
       138 0x0000008a be       10111110 tx.vin[0].witness[0].data
       139 0x0000008b 33       00110011 tx.vin[0].witness[0].data
       140 0x0000008c 60       01100000 tx.vin[0].witness[0].data
       141 0x0000008d f6       11110110 tx.vin[0].witness[0].data
       142 0x0000008e d2       11010010 tx.vin[0].witness[0].data
       143 0x0000008f 20       00100000 tx.vin[0].witness[0].data
       144 0x00000090 f1       11110001 tx.vin[0].witness[0].data
       145 0x00000091 c6       11000110 tx.vin[0].witness[0].data
       146 0x00000092 5d       01011101 tx.vin[0].witness[0].data
       147 0x00000093 e6       11100110 tx.vin[0].witness[0].data
       148 0x00000094 29       00101001 tx.vin[0].witness[0].data
       149 0x00000095 83       10000011 tx.vin[0].witness[0].data
       150 0x00000096 57       01010111 tx.vin[0].witness[0].data
       151 0x00000097 f3       11110011 tx.vin[0].witness[0].data
       152 0x00000098 7f       01111111 tx.vin[0].witness[0].data
       153 0x00000099 ae       10101110 tx.vin[0].witness[0].data
       154 0x0000009a b6       10110110 tx.vin[0].witness[0].data
       155 0x0000009b 62       01100010 tx.vin[0].witness[0].data
       156 0x0000009c 2c       00101100 tx.vin[0].witness[0].data
       157 0x0000009d f0       11110000 tx.vin[0].witness[0].data
       158 0x0000009e 5b       01011011 tx.vin[0].witness[0].data
       159 0x0000009f db       11011011 tx.vin[0].witness[0].data
       160 0x000000a0 f0       11110000 tx.vin[0].witness[0].data
       161 0x000000a1 42       01000010 tx.vin[0].witness[0].data
       162 0x000000a2 02       00000010 tx.vin[0].witness[0].data
       163 0x000000a3 20       00100000 tx.vin[0].witness[0].data
       164 0x000000a4 04       00000100 tx.vin[0].witness[0].data
       165 0x000000a5 de       11011110 tx.vin[0].witness[0].data
       166 0x000000a6 79       01111001 tx.vin[0].witness[0].data
       167 0x000000a7 8a       10001010 tx.vin[0].witness[0].data
       168 0x000000a8 90       10010000 tx.vin[0].witness[0].data
       169 0x000000a9 89       10001001 tx.vin[0].witness[0].data
       170 0x000000aa 4d       01001101 tx.vin[0].witness[0].data
       171 0x000000ab 15       00010101 tx.vin[0].witness[0].data
       172 0x000000ac d6       11010110 tx.vin[0].witness[0].data
       173 0x000000ad 46       01000110 tx.vin[0].witness[0].data
       174 0x000000ae a2       10100010 tx.vin[0].witness[0].data
