offset_dec offset_hex byte_hex bits       field
         0 0x00000000 02       00000010 tx.version
         1 0x00000001 00       00000000 tx.version
         2 0x00000002 00       00000000 tx.version
         3 0x00000003 00       00000000 tx.version
         4 0x00000004 00       00000000 tx.marker
         5 0x00000005 01       00000001 tx.flag
         6 0x00000006 05       00000101 tx.input_count
         7 0x00000007 7b       01111011 tx.vin[0].prev_txid_le
         8 0x00000008 01       00000001 tx.vin[0].prev_txid_le
         9 0x00000009 1f       00011111 tx.vin[0].prev_txid_le
        10 0x0000000a 87       10000111 tx.vin[0].prev_txid_le
        11 0x0000000b 9f       10011111 tx.vin[0].prev_txid_le
        12 0x0000000c 04       00000100 tx.vin[0].prev_txid_le
        13 0x0000000d 1e       00011110 tx.vin[0].prev_txid_le
        14 0x0000000e a0       10100000 tx.vin[0].prev_txid_le
        15 0x0000000f d7       11010111 tx.vin[0].prev_txid_le
        16 0x00000010 3b       00111011 tx.vin[0].prev_txid_le
        17 0x00000011 ad       10101101 tx.vin[0].prev_txid_le
        18 0x00000012 af       10101111 tx.vin[0].prev_txid_le
        19 0x00000013 da       11011010 tx.vin[0].prev_txid_le
        20 0x00000014 b1       10110001 tx.vin[0].prev_txid_le
        21 0x00000015 ed       11101101 tx.vin[0].prev_txid_le
        22 0x00000016 42       01000010 tx.vin[0].prev_txid_le
        23 0x00000017 21       00100001 tx.vin[0].prev_txid_le
        24 0x00000018 c2       11000010 tx.vin[0].prev_txid_le
        25 0x00000019 dd       11011101 tx.vin[0].prev_txid_le
        26 0x0000001a 8e       10001110 tx.vin[0].prev_txid_le
        27 0x0000001b 4e       01001110 tx.vin[0].prev_txid_le
        28 0x0000001c 5d       01011101 tx.vin[0].prev_txid_le
        29 0x0000001d 52       01010010 tx.vin[0].prev_txid_le
        30 0x0000001e aa       10101010 tx.vin[0].prev_txid_le
        31 0x0000001f 3d       00111101 tx.vin[0].prev_txid_le
        32 0x00000020 ed       11101101 tx.vin[0].prev_txid_le
        33 0x00000021 6d       01101101 tx.vin[0].prev_txid_le
        34 0x00000022 4e       01001110 tx.vin[0].prev_txid_le
        35 0x00000023 48       01001000 tx.vin[0].prev_txid_le
        36 0x00000024 a8       10101000 tx.vin[0].prev_txid_le
        37 0x00000025 86       10000110 tx.vin[0].prev_txid_le
        38 0x00000026 d9       11011001 tx.vin[0].prev_txid_le
        39 0x00000027 01       00000001 tx.vin[0].prev_vout
        40 0x00000028 00       00000000 tx.vin[0].prev_vout
        41 0x00000029 00       00000000 tx.vin[0].prev_vout
        42 0x0000002a 00       00000000 tx.vin[0].prev_vout
        43 0x0000002b 00       00000000 tx.vin[0].script_sig_length
        44 0x0000002c ff       11111111 tx.vin[0].sequence
        45 0x0000002d ff       11111111 tx.vin[0].sequence
        46 0x0000002e ff       11111111 tx.vin[0].sequence
        47 0x0000002f ff       11111111 tx.vin[0].sequence
        48 0x00000030 15       00010101 tx.vin[1].prev_txid_le
        49 0x00000031 b5       10110101 tx.vin[1].prev_txid_le
        50 0x00000032 62       01100010 tx.vin[1].prev_txid_le
        51 0x00000033 de       11011110 tx.vin[1].prev_txid_le
        52 0x00000034 ea       11101010 tx.vin[1].prev_txid_le
        53 0x00000035 6c       01101100 tx.vin[1].prev_txid_le
        54 0x00000036 21       00100001 tx.vin[1].prev_txid_le
        55 0x00000037 27       00100111 tx.vin[1].prev_txid_le
        56 0x00000038 fd       11111101 tx.vin[1].prev_txid_le
        57 0x00000039 65       01100101 tx.vin[1].prev_txid_le
        58 0x0000003a 43       01000011 tx.vin[1].prev_txid_le
        59 0x0000003b 0d       00001101 tx.vin[1].prev_txid_le
        60 0x0000003c 86       10000110 tx.vin[1].prev_txid_le
        61 0x0000003d 18       00011000 tx.vin[1].prev_txid_le
        62 0x0000003e bd       10111101 tx.vin[1].prev_txid_le
        63 0x0000003f 92       10010010 tx.vin[1].prev_txid_le
        64 0x00000040 b1       10110001 tx.vin[1].prev_txid_le
        65 0x00000041 49       01001001 tx.vin[1].prev_txid_le
        66 0x00000042 22       00100010 tx.vin[1].prev_txid_le
        67 0x00000043 65       01100101 tx.vin[1].prev_txid_le
        68 0x00000044 65       01100101 tx.vin[1].prev_txid_le
        69 0x00000045 59       01011001 tx.vin[1].prev_txid_le
        70 0x00000046 5f       01011111 tx.vin[1].prev_txid_le
        71 0x00000047 49       01001001 tx.vin[1].prev_txid_le
        72 0x00000048 c8       11001000 tx.vin[1].prev_txid_le
        73 0x00000049 ea       11101010 tx.vin[1].prev_txid_le
        74 0x0000004a 6c       01101100 tx.vin[1].prev_txid_le
        75 0x0000004b 08       00001000 tx.vin[1].prev_txid_le
        76 0x0000004c 79       01111001 tx.vin[1].prev_txid_le
        77 0x0000004d 28       00101000 tx.vin[1].prev_txid_le
        78 0x0000004e 95       10010101 tx.vin[1].prev_txid_le
        79 0x0000004f cc       11001100 tx.vin[1].prev_txid_le
        80 0x00000050 01       00000001 tx.vin[1].prev_vout
        81 0x00000051 00       00000000 tx.vin[1].prev_vout
        82 0x00000052 00       00000000 tx.vin[1].prev_vout
        83 0x00000053 00       00000000 tx.vin[1].prev_vout
        84 0x00000054 00       00000000 tx.vin[1].script_sig_length
        85 0x00000055 ff       11111111 tx.vin[1].sequence
        86 0x00000056 ff       11111111 tx.vin[1].sequence
        87 0x00000057 ff       11111111 tx.vin[1].sequence
        88 0x00000058 ff       11111111 tx.vin[1].sequence
        89 0x00000059 9c       10011100 tx.vin[2].prev_txid_le
        90 0x0000005a 0a       00001010 tx.vin[2].prev_txid_le
        91 0x0000005b da       11011010 tx.vin[2].prev_txid_le
        92 0x0000005c 47       01000111 tx.vin[2].prev_txid_le
        93 0x0000005d 7d       01111101 tx.vin[2].prev_txid_le
        94 0x0000005e 77       01110111 tx.vin[2].prev_txid_le
        95 0x0000005f b6       10110110 tx.vin[2].prev_txid_le
        96 0x00000060 5c       01011100 tx.vin[2].prev_txid_le
        97 0x00000061 17       00010111 tx.vin[2].prev_txid_le
        98 0x00000062 67       01100111 tx.vin[2].prev_txid_le
        99 0x00000063 0d       00001101 tx.vin[2].prev_txid_le
       100 0x00000064 b8       10111000 tx.vin[2].prev_txid_le
       101 0x00000065 04       00000100 tx.vin[2].prev_txid_le
       102 0x00000066 e2       11100010 tx.vin[2].prev_txid_le
       103 0x00000067 b3       10110011 tx.vin[2].prev_txid_le
       104 0x00000068 6e       01101110 tx.vin[2].prev_txid_le
       105 0x00000069 3f       00111111 tx.vin[2].prev_txid_le
       106 0x0000006a c7       11000111 tx.vin[2].prev_txid_le
       107 0x0000006b 9a       10011010 tx.vin[2].prev_txid_le
       108 0x0000006c f4       11110100 tx.vin[2].prev_txid_le
       109 0x0000006d 53       01010011 tx.vin[2].prev_txid_le
       110 0x0000006e 99       10011001 tx.vin[2].prev_txid_le
       111 0x0000006f 07       00000111 tx.vin[2].prev_txid_le
       112 0x00000070 ff       11111111 tx.vin[2].prev_txid_le
       113 0x00000071 20       00100000 tx.vin[2].prev_txid_le
       114 0x00000072 05       00000101 tx.vin[2].prev_txid_le
       115 0x00000073 6a       01101010 tx.vin[2].prev_txid_le
       116 0x00000074 e1       11100001 tx.vin[2].prev_txid_le
       117 0x00000075 4e       01001110 tx.vin[2].prev_txid_le
       118 0x00000076 05       00000101 tx.vin[2].prev_txid_le
       119 0x00000077 1e       00011110 tx.vin[2].prev_txid_le
       120 0x00000078 62       01100010 tx.vin[2].prev_txid_le
       121 0x00000079 01       00000001 tx.vin[2].prev_vout
       122 0x0000007a 00       00000000 tx.vin[2].prev_vout
       123 0x0000007b 00       00000000 tx.vin[2].prev_vout
       124 0x0000007c 00       00000000 tx.vin[2].prev_vout
       125 0x0000007d 00       00000000 tx.vin[2].script_sig_length
       126 0x0000007e ff       11111111 tx.vin[2].sequence
       127 0x0000007f ff       11111111 tx.vin[2].sequence
       128 0x00000080 ff       11111111 tx.vin[2].sequence
       129 0x00000081 ff       11111111 tx.vin[2].sequence
       130 0x00000082 eb       11101011 tx.vin[3].prev_txid_le
       131 0x00000083 96       10010110 tx.vin[3].prev_txid_le
       132 0x00000084 71       01110001 tx.vin[3].prev_txid_le
       133 0x00000085 f8       11111000 tx.vin[3].prev_txid_le
       134 0x00000086 2a       00101010 tx.vin[3].prev_txid_le
       135 0x00000087 21       00100001 tx.vin[3].prev_txid_le
       136 0x00000088 ad       10101101 tx.vin[3].prev_txid_le
       137 0x00000089 84       10000100 tx.vin[3].prev_txid_le
       138 0x0000008a 71       01110001 tx.vin[3].prev_txid_le
       139 0x0000008b f6       11110110 tx.vin[3].prev_txid_le
       140 0x0000008c 18       00011000 tx.vin[3].prev_txid_le
       141 0x0000008d fb       11111011 tx.vin[3].prev_txid_le
       142 0x0000008e 50       01010000 tx.vin[3].prev_txid_le
       143 0x0000008f 42       01000010 tx.vin[3].prev_txid_le
       144 0x00000090 0a       00001010 tx.vin[3].prev_txid_le
       145 0x00000091 0d       00001101 tx.vin[3].prev_txid_le
       146 0x00000092 60       01100000 tx.vin[3].prev_txid_le
       147 0x00000093 67       01100111 tx.vin[3].prev_txid_le
       148 0x00000094 15       00010101 tx.vin[3].prev_txid_le
       149 0x00000095 36       00110110 tx.vin[3].prev_txid_le
       150 0x00000096 42       01000010 tx.vin[3].prev_txid_le
       151 0x00000097 d4       11010100 tx.vin[3].prev_txid_le
       152 0x00000098 c4       11000100 tx.vin[3].prev_txid_le
       153 0x00000099 f7       11110111 tx.vin[3].prev_txid_le
       154 0x0000009a d8       11011000 tx.vin[3].prev_txid_le
       155 0x0000009b cb       11001011 tx.vin[3].prev_txid_le
       156 0x0000009c 6b       01101011 tx.vin[3].prev_txid_le
       157 0x0000009d 91       10010001 tx.vin[3].prev_txid_le
       158 0x0000009e 07       00000111 tx.vin[3].prev_txid_le
       159 0x0000009f 63       01100011 tx.vin[3].prev_txid_le
       160 0x000000a0 68       01101000 tx.vin[3].prev_txid_le
       161 0x000000a1 9b       10011011 tx.vin[3].prev_txid_le
       162 0x000000a2 01       00000001 tx.vin[3].prev_vout
       163 0x000000a3 00       00000000 tx.vin[3].prev_vout
       164 0x000000a4 00       00000000 tx.vin[3].prev_vout
       165 0x000000a5 00       00000000 tx.vin[3].prev_vout
       166 0x000000a6 00       00000000 tx.vin[3].script_sig_length
       167 0x000000a7 ff       11111111 tx.vin[3].sequence
       168 0x000000a8 ff       11111111 tx.vin[3].sequence
       169 0x000000a9 ff       11111111 tx.vin[3].sequence
       170 0x000000aa ff       11111111 tx.vin[3].sequence
       171 0x000000ab 16       00010110 tx.vin[4].prev_txid_le
       172 0x000000ac 27       00100111 tx.vin[4].prev_txid_le
