start,end_exclusive,length,field,wire_hex,interpreted_value
0,4,4,tx.version,02000000,2
4,5,1,tx.marker,00,0 (SegWit marker)
5,6,1,tx.flag,01,1 (witness present)
6,7,1,tx.input_count,05,5
7,39,32,tx.vin[0].prev_txid_le,7b011f879f041ea0d73badafdab1ed4221c2dd8e4e5d52aa3ded6d4e48a886d9,7b011f879f041ea0d73badafdab1ed4221c2dd8e4e5d52aa3ded6d4e48a886d9
39,43,4,tx.vin[0].prev_vout,01000000,1
43,44,1,tx.vin[0].script_sig_length,00,0
44,44,0,tx.vin[0].script_sig,,
44,48,4,tx.vin[0].sequence,ffffffff,4294967295
48,80,32,tx.vin[1].prev_txid_le,15b562deea6c2127fd65430d8618bd92b149226565595f49c8ea6c08792895cc,15b562deea6c2127fd65430d8618bd92b149226565595f49c8ea6c08792895cc
80,84,4,tx.vin[1].prev_vout,01000000,1
84,85,1,tx.vin[1].script_sig_length,00,0
85,85,0,tx.vin[1].script_sig,,
85,89,4,tx.vin[1].sequence,ffffffff,4294967295
89,121,32,tx.vin[2].prev_txid_le,9c0ada477d77b65c17670db804e2b36e3fc79af4539907ff20056ae14e051e62,9c0ada477d77b65c17670db804e2b36e3fc79af4539907ff20056ae14e051e62
121,125,4,tx.vin[2].prev_vout,01000000,1
125,126,1,tx.vin[2].script_sig_length,00,0
126,126,0,tx.vin[2].script_sig,,
126,130,4,tx.vin[2].sequence,ffffffff,4294967295
130,162,32,tx.vin[3].prev_txid_le,eb9671f82a21ad8471f618fb50420a0d6067153642d4c4f7d8cb6b910763689b,eb9671f82a21ad8471f618fb50420a0d6067153642d4c4f7d8cb6b910763689b
162,166,4,tx.vin[3].prev_vout,01000000,1
166,167,1,tx.vin[3].script_sig_length,00,0
167,167,0,tx.vin[3].script_sig,,
167,171,4,tx.vin[3].sequence,ffffffff,4294967295
171,203,32,tx.vin[4].prev_txid_le,1627eaf8e4327fbb3464ab5560a563cf047471473bcb4ec692421c9c23c0934c,1627eaf8e4327fbb3464ab5560a563cf047471473bcb4ec692421c9c23c0934c
203,207,4,tx.vin[4].prev_vout,01000000,1
207,208,1,tx.vin[4].script_sig_length,00,0
208,208,0,tx.vin[4].script_sig,,
208,212,4,tx.vin[4].sequence,ffffffff,4294967295
212,213,1,tx.output_count,01,1
213,221,8,tx.vout[0].value_satoshi,e803000000000000,1000
221,222,1,tx.vout[0].script_pubkey_length,16,22
222,244,22,tx.vout[0].script_pubkey,001473f68b137bf1eed579fd819b865ffcc26f27794b,001473f68b137bf1eed579fd819b865ffcc26f27794b
244,245,1,tx.vin[0].witness_count,01,1
245,246,1,tx.vin[0].witness[0].length,01,1
246,247,1,tx.vin[0].witness[0].data,51,51
247,248,1,tx.vin[1].witness_count,01,1
248,249,1,tx.vin[1].witness[0].length,01,1
249,250,1,tx.vin[1].witness[0].data,51,51
250,251,1,tx.vin[2].witness_count,01,1
251,252,1,tx.vin[2].witness[0].length,01,1
252,253,1,tx.vin[2].witness[0].data,51,51
253,254,1,tx.vin[3].witness_count,01,1
254,255,1,tx.vin[3].witness[0].length,01,1
255,256,1,tx.vin[3].witness[0].data,51,51
256,257,1,tx.vin[4].witness_count,01,1
257,258,1,tx.vin[4].witness[0].length,01,1
258,259,1,tx.vin[4].witness[0].data,51,51
259,263,4,tx.locktime,00000000,0
