offset_dec offset_hex byte_hex bits       field
         0 0x00000000 00       00000000 block.header.version
         1 0x00000001 60       01100000 block.header.version
         2 0x00000002 bb       10111011 block.header.version
         3 0x00000003 31       00110001 block.header.version
         4 0x00000004 6d       01101101 block.header.previous_hash_le
         5 0x00000005 85       10000101 block.header.previous_hash_le
         6 0x00000006 af       10101111 block.header.previous_hash_le
         7 0x00000007 4f       01001111 block.header.previous_hash_le
         8 0x00000008 6b       01101011 block.header.previous_hash_le
         9 0x00000009 7c       01111100 block.header.previous_hash_le
        10 0x0000000a cc       11001100 block.header.previous_hash_le
        11 0x0000000b 70       01110000 block.header.previous_hash_le
        12 0x0000000c 16       00010110 block.header.previous_hash_le
        13 0x0000000d a7       10100111 block.header.previous_hash_le
        14 0x0000000e 83       10000011 block.header.previous_hash_le
        15 0x0000000f 10       00010000 block.header.previous_hash_le
        16 0x00000010 11       00010001 block.header.previous_hash_le
        17 0x00000011 8e       10001110 block.header.previous_hash_le
        18 0x00000012 29       00101001 block.header.previous_hash_le
        19 0x00000013 89       10001001 block.header.previous_hash_le
        20 0x00000014 f0       11110000 block.header.previous_hash_le
        21 0x00000015 7c       01111100 block.header.previous_hash_le
        22 0x00000016 81       10000001 block.header.previous_hash_le
        23 0x00000017 3d       00111101 block.header.previous_hash_le
        24 0x00000018 67       01100111 block.header.previous_hash_le
        25 0x00000019 9d       10011101 block.header.previous_hash_le
        26 0x0000001a 99       10011001 block.header.previous_hash_le
        27 0x0000001b 48       01001000 block.header.previous_hash_le
        28 0x0000001c 9d       10011101 block.header.previous_hash_le
        29 0x0000001d ed       11101101 block.header.previous_hash_le
        30 0x0000001e e9       11101001 block.header.previous_hash_le
        31 0x0000001f 00       00000000 block.header.previous_hash_le
        32 0x00000020 00       00000000 block.header.previous_hash_le
        33 0x00000021 00       00000000 block.header.previous_hash_le
        34 0x00000022 00       00000000 block.header.previous_hash_le
        35 0x00000023 00       00000000 block.header.previous_hash_le
        36 0x00000024 02       00000010 block.header.merkle_root_le
        37 0x00000025 d1       11010001 block.header.merkle_root_le
        38 0x00000026 ed       11101101 block.header.merkle_root_le
        39 0x00000027 18       00011000 block.header.merkle_root_le
        40 0x00000028 25       00100101 block.header.merkle_root_le
        41 0x00000029 df       11011111 block.header.merkle_root_le
        42 0x0000002a a3       10100011 block.header.merkle_root_le
        43 0x0000002b fd       11111101 block.header.merkle_root_le
        44 0x0000002c a5       10100101 block.header.merkle_root_le
        45 0x0000002d 2e       00101110 block.header.merkle_root_le
        46 0x0000002e 3d       00111101 block.header.merkle_root_le
        47 0x0000002f 93       10010011 block.header.merkle_root_le
        48 0x00000030 39       00111001 block.header.merkle_root_le
        49 0x00000031 8e       10001110 block.header.merkle_root_le
        50 0x00000032 a7       10100111 block.header.merkle_root_le
        51 0x00000033 6b       01101011 block.header.merkle_root_le
        52 0x00000034 85       10000101 block.header.merkle_root_le
        53 0x00000035 4b       01001011 block.header.merkle_root_le
        54 0x00000036 51       01010001 block.header.merkle_root_le
        55 0x00000037 3c       00111100 block.header.merkle_root_le
        56 0x00000038 51       01010001 block.header.merkle_root_le
        57 0x00000039 ae       10101110 block.header.merkle_root_le
        58 0x0000003a 86       10000110 block.header.merkle_root_le
        59 0x0000003b df       11011111 block.header.merkle_root_le
        60 0x0000003c f9       11111001 block.header.merkle_root_le
        61 0x0000003d ba       10111010 block.header.merkle_root_le
        62 0x0000003e 50       01010000 block.header.merkle_root_le
        63 0x0000003f bd       10111101 block.header.merkle_root_le
        64 0x00000040 0b       00001011 block.header.merkle_root_le
        65 0x00000041 64       01100100 block.header.merkle_root_le
        66 0x00000042 53       01010011 block.header.merkle_root_le
        67 0x00000043 58       01011000 block.header.merkle_root_le
        68 0x00000044 55       01010101 block.header.timestamp
        69 0x00000045 f0       11110000 block.header.timestamp
        70 0x00000046 5d       01011101 block.header.timestamp
        71 0x00000047 6a       01101010 block.header.timestamp
        72 0x00000048 ff       11111111 block.header.bits
        73 0x00000049 ff       11111111 block.header.bits
        74 0x0000004a 00       00000000 block.header.bits
        75 0x0000004b 1d       00011101 block.header.bits
        76 0x0000004c 94       10010100 block.header.nonce
        77 0x0000004d 02       00000010 block.header.nonce
        78 0x0000004e 38       00111000 block.header.nonce
        79 0x0000004f 41       01000001 block.header.nonce
        80 0x00000050 0e       00001110 block.transaction_count
        81 0x00000051 01       00000001 block.tx[0].version
        82 0x00000052 00       00000000 block.tx[0].version
        83 0x00000053 00       00000000 block.tx[0].version
        84 0x00000054 00       00000000 block.tx[0].version
        85 0x00000055 00       00000000 block.tx[0].marker
        86 0x00000056 01       00000001 block.tx[0].flag
        87 0x00000057 01       00000001 block.tx[0].input_count
        88 0x00000058 00       00000000 block.tx[0].vin[0].prev_txid_le
        89 0x00000059 00       00000000 block.tx[0].vin[0].prev_txid_le
        90 0x0000005a 00       00000000 block.tx[0].vin[0].prev_txid_le
        91 0x0000005b 00       00000000 block.tx[0].vin[0].prev_txid_le
        92 0x0000005c 00       00000000 block.tx[0].vin[0].prev_txid_le
        93 0x0000005d 00       00000000 block.tx[0].vin[0].prev_txid_le
        94 0x0000005e 00       00000000 block.tx[0].vin[0].prev_txid_le
        95 0x0000005f 00       00000000 block.tx[0].vin[0].prev_txid_le
        96 0x00000060 00       00000000 block.tx[0].vin[0].prev_txid_le
        97 0x00000061 00       00000000 block.tx[0].vin[0].prev_txid_le
        98 0x00000062 00       00000000 block.tx[0].vin[0].prev_txid_le
        99 0x00000063 00       00000000 block.tx[0].vin[0].prev_txid_le
       100 0x00000064 00       00000000 block.tx[0].vin[0].prev_txid_le
       101 0x00000065 00       00000000 block.tx[0].vin[0].prev_txid_le
       102 0x00000066 00       00000000 block.tx[0].vin[0].prev_txid_le
       103 0x00000067 00       00000000 block.tx[0].vin[0].prev_txid_le
       104 0x00000068 00       00000000 block.tx[0].vin[0].prev_txid_le
       105 0x00000069 00       00000000 block.tx[0].vin[0].prev_txid_le
       106 0x0000006a 00       00000000 block.tx[0].vin[0].prev_txid_le
       107 0x0000006b 00       00000000 block.tx[0].vin[0].prev_txid_le
       108 0x0000006c 00       00000000 block.tx[0].vin[0].prev_txid_le
       109 0x0000006d 00       00000000 block.tx[0].vin[0].prev_txid_le
       110 0x0000006e 00       00000000 block.tx[0].vin[0].prev_txid_le
       111 0x0000006f 00       00000000 block.tx[0].vin[0].prev_txid_le
       112 0x00000070 00       00000000 block.tx[0].vin[0].prev_txid_le
       113 0x00000071 00       00000000 block.tx[0].vin[0].prev_txid_le
       114 0x00000072 00       00000000 block.tx[0].vin[0].prev_txid_le
       115 0x00000073 00       00000000 block.tx[0].vin[0].prev_txid_le
       116 0x00000074 00       00000000 block.tx[0].vin[0].prev_txid_le
       117 0x00000075 00       00000000 block.tx[0].vin[0].prev_txid_le
       118 0x00000076 00       00000000 block.tx[0].vin[0].prev_txid_le
       119 0x00000077 00       00000000 block.tx[0].vin[0].prev_txid_le
       120 0x00000078 ff       11111111 block.tx[0].vin[0].prev_vout
       121 0x00000079 ff       11111111 block.tx[0].vin[0].prev_vout
       122 0x0000007a ff       11111111 block.tx[0].vin[0].prev_vout
       123 0x0000007b ff       11111111 block.tx[0].vin[0].prev_vout
       124 0x0000007c 17       00010111 block.tx[0].vin[0].script_sig_length
       125 0x0000007d 03       00000011 block.tx[0].vin[0].script_sig
       126 0x0000007e ee       11101110 block.tx[0].vin[0].script_sig
       127 0x0000007f 35       00110101 block.tx[0].vin[0].script_sig
       128 0x00000080 02       00000010 block.tx[0].vin[0].script_sig
       129 0x00000081 00       00000000 block.tx[0].vin[0].script_sig
       130 0x00000082 04       00000100 block.tx[0].vin[0].script_sig
       131 0x00000083 84       10000100 block.tx[0].vin[0].script_sig
       132 0x00000084 cf       11001111 block.tx[0].vin[0].script_sig
       133 0x00000085 5d       01011101 block.tx[0].vin[0].script_sig
       134 0x00000086 6a       01101010 block.tx[0].vin[0].script_sig
       135 0x00000087 0c       00001100 block.tx[0].vin[0].script_sig
       136 0x00000088 d4       11010100 block.tx[0].vin[0].script_sig
       137 0x00000089 b9       10111001 block.tx[0].vin[0].script_sig
       138 0x0000008a 44       01000100 block.tx[0].vin[0].script_sig
       139 0x0000008b 6a       01101010 block.tx[0].vin[0].script_sig
       140 0x0000008c 00       00000000 block.tx[0].vin[0].script_sig
       141 0x0000008d 00       00000000 block.tx[0].vin[0].script_sig
       142 0x0000008e 00       00000000 block.tx[0].vin[0].script_sig
       143 0x0000008f 00       00000000 block.tx[0].vin[0].script_sig
       144 0x00000090 00       00000000 block.tx[0].vin[0].script_sig
       145 0x00000091 00       00000000 block.tx[0].vin[0].script_sig
       146 0x00000092 00       00000000 block.tx[0].vin[0].script_sig
       147 0x00000093 00       00000000 block.tx[0].vin[0].script_sig
       148 0x00000094 ff       11111111 block.tx[0].vin[0].sequence
       149 0x00000095 ff       11111111 block.tx[0].vin[0].sequence
